"items""support"
"{Javascript,Node.js}"0.0252004581901489
"{Активные продажи,Холодные звонки}"0.0213822069492173
"{Поиск и привлечение клиентов,Холодные звонки}"0.0225276823214968
"{Телефонные переговоры,Холодные звонки}"0.0221458571974036
"{B2B Продажи,Холодные звонки}"0.0213822069492173
"{Холодные звонки,Холодные продажи}"0.0225276823214968
"{CSS3,HTML5,Javascript,JQuery}"0.0202367315769378
"{CSS3,HTML5,Javascript}"0.0313096601756396
"{CSS3,HTML5,JQuery}"0.0236731576937763
"{CSS3,Javascript,JQuery}"0.0221458571974036
"{CSS3,Javascript}"0.0336006109201986
"{CSS3,Git}"0.0202367315769378
"{CSS3,JQuery}"0.0259641084383352
"{CSS3,HTML5}"0.0362733867888507
"{Ведение переговоров,Навыки презентации}"0.0252004581901489
"{Навыки презентации,Проведение презентаций}"0.0206185567010309
"{Ajax,Javascript,JQuery}"0.0271095838106147
"{Ajax,HTML,Javascript}"0.0210003818251241
"{Ajax,Javascript}"0.037037037037037
"{Ajax,HTML}"0.0232913325696831
"{Ajax,CSS}"0.0213822069492173
"{Ajax,PHP}"0.0213822069492173
"{Ajax,JQuery}"0.0282550591828942
"{Ajax,MySQL}"0.0202367315769378
"{Ведение переговоров,Деловая коммуникация}"0.0206185567010309
"{Деловая коммуникация,Деловая переписка}"0.0202367315769378
"{B2B Продажи,Активные продажи,Холодные продажи}"0.0210003818251241
"{B2B Продажи,Поиск и привлечение клиентов,Холодные продажи}"0.0217640320733104
"{Поиск и привлечение клиентов,Телефонные переговоры,Холодные продажи}"0.0210003818251241
"{Ведение переговоров,Поиск и привлечение клиентов,Холодные продажи}"0.0202367315769378
"{Активные продажи,Поиск и привлечение клиентов,Холодные продажи}"0.0232913325696831
"{Ведение переговоров,Холодные продажи}"0.0252004581901489
"{Активные продажи,Холодные продажи}"0.0278732340588011
"{Навыки продаж,Холодные продажи}"0.0236731576937763
"{Поиск и привлечение клиентов,Холодные продажи}"0.0305460099274532
"{Телефонные переговоры,Холодные продажи}"0.0248186330660557
"{B2B Продажи,Холодные продажи}"0.0271095838106147
"{HTML5,Javascript,JQuery}"0.0278732340588011
"{HTML5,Javascript}"0.0458190148911798
"{Git,HTML5}"0.0225276823214968
"{HTML5,JQuery}"0.0316914852997327
"{Git,Linux}"0.0229095074455899
"{Ведение переговоров,Грамотная речь}"0.0202367315769378
"{Грамотная речь,Работа в команде}"0.0202367315769378
"{Грамотная речь,Деловая переписка}"0.0217640320733104
"{Активные продажи,Поиск и привлечение клиентов,Развитие продаж}"0.0210003818251241
"{Активные продажи,Ведение переговоров,Развитие продаж}"0.0206185567010309
"{Ведение переговоров,Развитие продаж}"0.0271095838106147
"{Активные продажи,Развитие продаж}"0.0282550591828942
"{Навыки продаж,Развитие продаж}"0.0240549828178694
"{Поиск и привлечение клиентов,Развитие продаж}"0.0240549828178694
"{B2B Продажи,Развитие продаж}"0.0232913325696831
"{Активные продажи,Ведение переговоров,Прямые продажи}"0.0210003818251241
"{Ведение переговоров,Прямые продажи}"0.0244368079419626
"{Активные продажи,Прямые продажи}"0.0294005345551737
"{Навыки продаж,Прямые продажи}"0.0240549828178694
"{Поиск и привлечение клиентов,Прямые продажи}"0.0255822833142421
"{Прямые продажи,Телефонные переговоры}"0.0206185567010309
"{B2B Продажи,Прямые продажи}"0.0244368079419626
"{Ведение переговоров,Деловая переписка,Деловое общение}"0.0202367315769378
